session,trial,rat,RL,laggedRL,signalDuration,laggedsignalDuration,response,laggedResponse,hit,miss,cr,fa,incongHit,congHit
1.0,6.0,39.0,0.028,0.018000000000000002,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,7.0,39.0,0.025,0.028,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,8.0,39.0,0.023,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,9.0,39.0,0.049,0.023,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,10.0,39.0,0.028,0.049,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,11.0,39.0,0.025,0.028,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,12.0,39.0,0.026000000000000002,0.025,0.025,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,15.0,39.0,0.027,0.16,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,16.0,39.0,0.014,0.027,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,17.0,39.0,0.021,0.014,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,18.0,39.0,0.022,0.021,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,19.0,39.0,0.02,0.022,0.5,0.025,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,20.0,39.0,0.019,0.02,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,21.0,39.0,0.014,0.019,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,22.0,39.0,0.027,0.014,0.025,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,23.0,39.0,0.021,0.027,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,24.0,39.0,0.023,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,25.0,39.0,0.024,0.023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,26.0,39.0,0.027,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,27.0,39.0,0.03,0.027,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,28.0,39.0,0.026000000000000002,0.03,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,29.0,39.0,0.026000000000000002,0.026000000000000002,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,30.0,39.0,0.027,0.026000000000000002,0.025,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,31.0,39.0,0.025,0.027,0.05,0.025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,32.0,39.0,0.044,0.025,0.0,0.05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,33.0,39.0,0.036000000000000004,0.044,0.025,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,34.0,39.0,0.066,0.036000000000000004,0.0,0.025,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,35.0,39.0,0.023,0.066,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,36.0,39.0,0.026000000000000002,0.023,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,37.0,39.0,0.016,0.026000000000000002,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,38.0,39.0,0.023,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,39.0,39.0,0.027,0.023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,40.0,39.0,0.014,0.027,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,41.0,39.0,0.02,0.014,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,42.0,39.0,0.028,0.02,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,43.0,39.0,0.052000000000000005,0.028,0.0,0.025,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,44.0,39.0,0.029,0.052000000000000005,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,45.0,39.0,0.034,0.029,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,46.0,39.0,0.026000000000000002,0.034,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,47.0,39.0,0.026000000000000002,0.026000000000000002,0.05,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,48.0,39.0,0.026000000000000002,0.026000000000000002,0.0,0.05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,49.0,39.0,0.03,0.026000000000000002,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,50.0,39.0,0.027,0.03,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,51.0,39.0,0.017,0.027,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,52.0,39.0,0.023,0.017,0.0,0.025,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,53.0,39.0,0.025,0.023,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,54.0,39.0,0.036000000000000004,0.025,0.025,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,55.0,39.0,0.017,0.036000000000000004,0.025,0.025,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,56.0,39.0,0.024,0.017,0.05,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,57.0,39.0,0.027,0.024,0.025,0.05,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,58.0,39.0,0.024,0.027,0.0,0.025,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,59.0,39.0,0.022,0.024,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,60.0,39.0,0.021,0.022,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,61.0,39.0,0.026000000000000002,0.021,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,62.0,39.0,0.073,0.026000000000000002,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,63.0,39.0,0.02,0.073,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,64.0,39.0,0.022,0.02,0.05,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,65.0,39.0,0.054,0.022,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,66.0,39.0,0.019,0.054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,67.0,39.0,0.025,0.019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,68.0,39.0,0.025,0.025,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,69.0,39.0,0.022,0.025,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,70.0,39.0,0.023,0.022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,71.0,39.0,0.024,0.023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,72.0,39.0,0.022,0.024,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,73.0,39.0,0.015,0.022,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,74.0,39.0,0.026000000000000002,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,75.0,39.0,0.02,0.026000000000000002,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,76.0,39.0,0.025,0.02,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,77.0,39.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,78.0,39.0,0.016,0.025,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,79.0,39.0,0.035,0.016,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,80.0,39.0,0.053,0.035,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,81.0,39.0,0.028,0.053,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,82.0,39.0,0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,83.0,39.0,0.017,0.028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,84.0,39.0,0.029,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,85.0,39.0,0.031,0.029,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,86.0,39.0,0.024,0.031,0.025,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,87.0,39.0,0.036000000000000004,0.024,0.5,0.025,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,88.0,39.0,0.017,0.036000000000000004,0.05,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,89.0,39.0,0.027,0.017,0.05,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,90.0,39.0,0.027,0.027,0.025,0.05,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,91.0,39.0,0.025,0.027,0.0,0.025,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,92.0,39.0,0.027,0.025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,93.0,39.0,0.018000000000000002,0.027,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,94.0,39.0,0.028,0.018000000000000002,0.025,0.025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,95.0,39.0,0.11800000000000001,0.028,0.05,0.025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,96.0,39.0,0.02,0.11800000000000001,0.0,0.05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,97.0,39.0,0.025,0.02,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,98.0,39.0,0.058,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,99.0,39.0,0.023,0.058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,100.0,39.0,0.024,0.023,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,101.0,39.0,0.036000000000000004,0.024,0.5,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,102.0,39.0,0.018000000000000002,0.036000000000000004,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,103.0,39.0,0.028,0.018000000000000002,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,104.0,39.0,0.037,0.028,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,105.0,39.0,0.027,0.037,0.025,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,106.0,39.0,0.022,0.027,0.05,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,107.0,39.0,0.022,0.022,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,108.0,39.0,0.026000000000000002,0.022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,109.0,39.0,0.044,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,110.0,39.0,0.021,0.044,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,111.0,39.0,0.025,0.021,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,112.0,39.0,0.026000000000000002,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,113.0,39.0,0.018000000000000002,0.026000000000000002,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,114.0,39.0,0.024,0.018000000000000002,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,115.0,39.0,0.03,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,116.0,39.0,0.027,0.03,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,117.0,39.0,0.03,0.027,0.025,0.05,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,118.0,39.0,0.015,0.03,0.5,0.025,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,119.0,39.0,0.025,0.015,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,120.0,39.0,0.026000000000000002,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,121.0,39.0,0.023,0.026000000000000002,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,122.0,39.0,0.024,0.023,0.05,0.025,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,123.0,39.0,0.028,0.024,0.5,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,124.0,39.0,0.018000000000000002,0.028,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,125.0,39.0,0.014,0.018000000000000002,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,126.0,39.0,0.026000000000000002,0.014,0.0,0.025,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,127.0,39.0,0.014,0.026000000000000002,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,128.0,39.0,0.026000000000000002,0.014,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,129.0,39.0,0.027,0.026000000000000002,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,130.0,39.0,0.048,0.027,0.025,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,131.0,39.0,0.025,0.048,0.0,0.025,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,132.0,39.0,0.021,0.025,0.05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
